분야,교육과정,회사명,CNT,Year,직무,String1,보유기술
IT·프로그래밍,자바(JAVA) 웹개발 및 정보처리산업기사 취득[과정평가형]A,(주)데모스,1,2022,컨설팅,자바(JAVA),JAVA
IT·프로그래밍,빅데이터 플랫폼 구축(하둡)과 빅데이터분석(by Spark&Power Bi)&자바(JAVA)웹개발,아이티센,1,2022,"기획,경영",빅데이터,"JAVA, JSP, SQL, Python"
IT·프로그래밍,빅데이터 플랫폼 구축(하둡)과 빅데이터분석(by Spark&Power Bi)&자바(JAVA)웹개발,지티원(주),1,2022,유지보수,빅데이터,"JAVA, JSP, SQL, Python"
IT·프로그래밍,자바(JAVA) 웹개발 및 정보처리산업기사 취득[과정평가형]A,토피아정보기술(주),1,2022,SI 개발,자바(JAVA),JAVA
IT·프로그래밍,자바(JAVA) 웹개발 및 정보처리산업기사 취득[과정평가형]B,(주)젬텍,1,2022,소프트웨어 개발,자바(JAVA),JAVA
IT·프로그래밍,빅데이터 플랫폼 구축(하둡)과 빅데이터분석(by Spark&Power Bi)&자바(JAVA)웹개발,주식회사 하이퍼라운지,1,2021,데이터분석,빅데이터,"JAVA, JSP, SQL, Python"
IT·프로그래밍,빅데이터 플랫폼 개발자 양성,뱅크웨어글로벌,1,2022,백엔드 개발,빅데이터,"JAVA, JSP, SQL, Python"
IT·프로그래밍,자바(JAVA)웹개발 및 정보처리산업기사 취득 [과정평가형]A,이프컴퍼니,1,2022,웹 개발,자바(JAVA)웹개발,"JAVA,HTML, CSS, JSP "
IT·프로그래밍,편집디자인(전자출판&e-book)디자이너 양성B(혼합훈련),샤크커뮤니케이션,1,2022,편집디자인,편집디자인(전자출판&e-book)디자이너,"HTML, CSS"
IT·프로그래밍,자바기반 안드로이드 앱 개발B_스마트,몽타(주),1,2022,MES개발자,자바기반,JAVA
IT·프로그래밍,자바기반 안드로이드 앱 개발B_스마트,몽타(주),1,2022,MES개발자,자바기반,JAVA
IT·프로그래밍,자바기반 안드로이드 앱 개발B_스마트,(주)제온스,1,2021,개발자,자바기반,JAVA
IT·프로그래밍,안드로이드&ios앱개발자양성,(주)와당,1,2021,소프트웨어 개발,안드로이드&ios앱개발자양성,"안드로이드, IOS"
IT·프로그래밍,"파이썬,R을 활용한 빅데이터 시각화 구현",천재교과서,1,2021,AI기획,"파이썬,R을","Python,R "
IT·프로그래밍,안드로이드&ios앱개발자양성,(주)와당,1,2021,소프트웨어 개발,안드로이드&ios앱개발자양성,"안드로이드, IOS"
IT·프로그래밍,"파이썬,R을 활용한 빅데이터 시각화 구현",두타워즈,1,2021,"자바,파이썬개발자","파이썬,R을","Python,R "
IT·프로그래밍,안드로이드&ios앱개발자양성,비즈테크파트너스,1,2021,개발자,안드로이드&ios앱개발자양성,"안드로이드, IOS"
IT·프로그래밍,파이썬과 R을 활용한 빅데이터 분석 실무자 양성_혼합훈련,엠아이큐브솔루션(주),1,2021,SW개발 및 운영,파이썬과,Python
IT·프로그래밍,자바(JAVA) 웹개발&앱개발(안드로이드)개발자 과정_혼합훈련,(주)올웨이즈,1,2021,자바개발자,자바(JAVA),JAVA
IT·프로그래밍,파이썬과 R을 활용한 빅데이터 분석 실무자 양성_혼합훈련,(주)피씨엔,1,2021,웹개발자,파이썬과,Python
IT·프로그래밍,빅데이터 플랫폼 개발자 양성_스마트,리본소프트,1,2021,AI 개발자,빅데이터,"JAVA, JSP, SQL, Python"
IT·프로그래밍,자바(JAVA) 웹개발 및 정보처리산업기사 취득[과정평가형]A,로지포커스,1,2021,JAVA개발자,자바(JAVA),JAVA
IT·프로그래밍,자바(JAVA) 웹개발 및 정보처리산업기사 취득[과정평가형]B,(주)웰토스,1,2021,개발,자바(JAVA),JAVA
IT·프로그래밍,자바(JAVA) 웹개발 및 정보처리산업기사 취득[과정평가형]A,하이윌테크놀로지,1,2021,자바개발자,자바(JAVA),JAVA
IT·프로그래밍,자바(JAVA) 웹개발 및 정보처리산업기사 취득[과정평가형]A,진코퍼레이션,1,2022,자바개발자,자바(JAVA),JAVA
IT·프로그래밍,가상화 솔루션(Docker)과 클라우드(AWS) 서비스 기반 웹&앱 개발자 양성(혼합)A,에이지엘(주),1,2021,자바개발자,가상화,JAVA
IT·프로그래밍,자바기반 안드로이드 앱 개발B_스마트-2,더화이트커뮤니케이션(주),1,2021,개발자,자바기반,JAVA
IT·프로그래밍,자바기반 안드로이드 앱 개발B_스마트-2,㈜NHN다이퀘스트,1,2021,자바개발자,자바기반,JAVA
IT·프로그래밍,자바기반 안드로이드 앱 개발B_스마트-2,(주)커머스웨어,1,2021,웹프로그래머,자바기반,JAVA
IT·프로그래밍,자바기반 안드로이드 앱 개발B_스마트-2,(주)네오베이,1,2021,개발자,자바기반,JAVA
IT·프로그래밍,자바기반 안드로이드 앱 개발B_스마트-2,(주)웨인테크놀로지,1,2021,개발자,자바기반,JAVA
IT·프로그래밍,자바기반 안드로이드 앱 개발B_스마트-2,JT저축은행,1,2021,개발자,자바기반,JAVA
IT·프로그래밍,빅데이터 플랫폼 개발자 양성_스마트,웨인테크놀로지,1,2021,개발자,빅데이터,"JAVA, JSP, SQL, Python"
IT·프로그래밍,클라우드(AWS) 서비스 기반 웹&앱 SW융합개발자 양성_혼합,인피니소프트,1,2021,솔루션개발,클라우드(AWS),"JAVA, HTML"
IT·프로그래밍,파이썬 활용 빅데이터 플랫폼 구축 및 분석전문가 양성B-혼합,(주)플리지,1,2021,AI개발자,파이썬,Python
IT·프로그래밍,클라우드(AWS) 서비스 기반 웹&앱 SW융합개발자 양성_혼합,인터페이스정보기술,1,2021,자바 개발/유지보수,클라우드(AWS),"JAVA, HTML"
IT·프로그래밍,안드로이드&ios앱개발자양성,토마토시스템,1,2021,개발자,안드로이드&ios앱개발자양성,"안드로이드, IOS"
IT·프로그래밍,자바(JAVA) 웹개발 및 정보처리산업기사 취득[과정평가형]A,로지포커스,1,2021,JAVA개발자,자바(JAVA),JAVA
IT·프로그래밍,빅데이터 플랫폼 개발자 양성_스마트,AI.STUDIO,1,2021,AI개발자,빅데이터,"JAVA, JSP, SQL, Python"
IT·프로그래밍,빅데이터 플랫폼 개발자 양성_스마트,쿤텍,1,2021,데이터 & AI 플랫폼 컨설턴트,빅데이터,"JAVA, JSP, SQL, Python"
IT·프로그래밍,파이썬 활용 빅데이터 플랫폼 구축 및 분석전문가 양성A-혼합,우리ICT,1,2021,자바개발자,파이썬,Python
IT·프로그래밍,빅데이터 플랫폼 구축(하둡)과 빅데이터분석(by Spark&Power Bi)&자바(JAVA)웹개발,국민은행(종암),1,2021,경비 및 관리,빅데이터,"JAVA, JSP, SQL, Python"
IT·프로그래밍,"AI(머신러닝,딥러닝)엔지니어링&자바(JAVA), 파이썬 활용 빅데이터분석",레일웨이,1,2021,"회계,관리","AI(머신러닝,딥러닝)엔지니어링&자바(JAVA),","Python,JAVA,"
IT·프로그래밍,파이썬 활용 빅데이터 플랫폼 구축 및 분석전문가 양성B-혼합,㈜하몬소프트,1,2021,서버플랫폼,파이썬,Python
IT·프로그래밍,"파이썬,R을 활용한 빅데이터 시각화 구현",마이셀럽스,1,2021,데이터분석 (인턴),"파이썬,R을","Python,R "
IT·프로그래밍,"AI(머신러닝,딥러닝)엔지니어링&자바(JAVA), 파이썬 활용 빅데이터분석",파오스파트너스,1,2021,마케팅,"AI(머신러닝,딥러닝)엔지니어링&자바(JAVA),","Python,JAVA,"
IT·프로그래밍,"정보보안(시스템,네트워크)분석전문가과정(모의해킹)",스틸리언,1,2021,시스템엔지니어,"정보보안(시스템,네트워크)분석전문가과정(모의해킹)","시스템, 네트워크, DBMS, JAVA"
IT·프로그래밍,자바기반 웹 개발자 양성,IF컴퍼니,1,2021,웹개발자,자바기반,JAVA
IT·프로그래밍,클라우드(AWS) 서비스 기반 웹&앱 SW융합개발자 양성_혼합,한국리스크관리,1,2021,금융IT 개발,클라우드(AWS),"JAVA, HTML"
IT·프로그래밍,안드로이드&ios앱개발자양성,(주)젬텍,1,2021,소프트웨어 개발,안드로이드&ios앱개발자양성,"안드로이드, IOS"
IT·프로그래밍,안드로이드&ios앱개발자양성,(주)젬텍,1,2021,소프트웨어 개발,안드로이드&ios앱개발자양성,"안드로이드, IOS"
IT·프로그래밍,자바기반 안드로이드 앱 개발B_스마트,(주)아이앤나,1,2021,백엔드개발자,자바기반,JAVA
IT·프로그래밍,파이썬 활용 빅데이터 플랫폼 구축 및 분석전문가 양성B-혼합,(주)인벤티스,1,2021,메타버스 구축 r&d,파이썬,Python
IT·프로그래밍,프론트엔드 개발자(Vue.js),아이엠그루,1,2021,데이터 엔지니어링(프론트 개발),프론트엔드,"JAVA, HTML, CSS, JSP"
IT·프로그래밍,안드로이드&IOS 앱 개발자 과정B_스마트,에임스,1,2021,앱 개발,안드로이드&IOS,"안드로이드,IOS"
IT·프로그래밍,"빅데이터 시각화(UI) 분석 전문가 양성과정(자바,파이썬, R)A(혼합훈련)",엠포러스,1,2021,데이터 분석,빅데이터,"JAVA, JSP, SQL, Python"
IT·프로그래밍,안드로이드&IOS 앱 개발자 과정B_스마트,레몬아이티,1,2021,웹 개발,안드로이드&IOS,"안드로이드,IOS"
IT·프로그래밍,안드로이드&ios앱개발자양성,(주)젬텍,1,2021,소프트웨어 개발,안드로이드&ios앱개발자양성,"안드로이드, IOS"
