"데이터산업별(1)",데이터산업별(2),2015,2016,2017,2018,2019,2020 p)
"전체",소계,56950,60523,65642,85728,99748,114350
"데이터 처리 및 관리 솔루션 개발·공급업",소계,14124,15720,16457,18617,20805,24623
"데이터 처리 및 관리 솔루션 개발·공급업",데이터 수집·연계 솔루션 개발·공급업,1115,1345,1393,1622,1871,2256
"데이터 처리 및 관리 솔루션 개발·공급업",데이터베이스 관리 시스템 솔루션 개발·공급업,5727,6148,6121,6775,7510,8835
"데이터 처리 및 관리 솔루션 개발·공급업",데이터 분석 솔루션 개발·공급업,1157,1249,1325,1782,2014,2779
"데이터 처리 및 관리 솔루션 개발·공급업",데이터 관리 솔루션 개발·공급업,4699,5367,4628,4972,5203,5555
"데이터 처리 및 관리 솔루션 개발·공급업",데이터 보안 솔루션 개발·공급업,-,-,1213,1517,1975,2495
"데이터 처리 및 관리 솔루션 개발·공급업",빅데이터 통합 플랫폼 솔루션 개발·공급업,1426,1611,1776,1949,2231,2704
"데이터 구축 및 컨설팅 서비스업",소계,26698,27875,30847,37009,38335,43685
"데이터 구축 및 컨설팅 서비스업",데이터 구축·가공 서비스업,25560,26596,29160,34713,35146,39490
"데이터 구축 및 컨설팅 서비스업",데이터 관련 컨설팅 서비스업,1138,1279,1687,2297,3189,4195
"데이터 판매 및 제공 서비스업",소계,16128,16928,18339,30102,40607,46042
"데이터 판매 및 제공 서비스업",데이터 거래,2350,2354,2713,3796,-,-
"데이터 판매 및 제공 서비스업",데이터 판매·중개 서비스업,-,-,-,-,9844,13902
"데이터 판매 및 제공 서비스업",정보제공 서비스업,10726,11523,12747,22673,30764,32140
"데이터 판매 및 제공 서비스업",데이터 분석 제공,3052,3051,2878,3633,-,-
